record,n_epoch,movement_found,delay_ms,onset_time,peak_time,mep_amplitude_mV,trigger_sample,trigger_time_ms,peak_amp,peak_prominence,peak_area,peak_times,peak_onsets,peak_amps,peak_areas,threshold,noise_median,noise_sigma,fraction_max,n_peaks,emg_ptp_mV,mep_baseline_mV
08_04KK_tms_40MSO_real.hdf,1,True,-68.8,-68.8,-67.8,1.8927725553512573,40409,8081.8,1.1009982191134528e-09,3.255635999698572e-10,1.944422475299889e-09,"[-67.8, -56.4]","[-68.8, -58.4]","[1.1009982191134528e-09, 2.039263841736908e-09]","[1.944422475299889e-09, 3.403140961559377e-09]",6.275561642029408e-10,1.02710880800433e-11,1.2597037352329169e-11,1.0,2,0.1711296246330082,-0.024101585149765015
08_04KK_tms_40MSO_real.hdf,2,True,123.2,123.2,126.4,0.5153337121009827,68746,13749.2,4.435761936610078e-10,4.4761980929740854e-10,1.2322105944582123e-09,[126.4],[123.2],[4.435761936610078e-10],[1.2322105944582123e-09],4.027106045953772e-11,7.44898813991388e-12,8.20551807990596e-12,1.0,1,0.1889818941780356,0.00026622452423907816
08_04KK_tms_40MSO_real.hdf,3,True,-415.4,-415.4,-414.0,3.1087491512298584,96334,19266.8,1.5795532319118505e-09,1.5776443668511879e-09,3.6033762839815524e-09,"[-414.0, -107.2, -75.6, -63.4]","[-415.4, -108.2, -76.6, -64.8]","[1.5795532319118505e-09, 3.3946210351571523e-10, 2.964415934839404e-10, 3.1129395865938614e-10]","[3.6033762839815524e-09, 1.0009304909700481e-10, 4.021470666537537e-11, 8.532633151865503e-11]",2.559610388669194e-10,9.873573753855997e-12,1.4961726571144025e-11,0.8571428571428571,4,0.30168856278239753,-0.002488885074853897
08_04KK_tms_40MSO_real.hdf,4,True,92.6,92.6,93.2,1.6554421186447144,122713,24542.6,8.50771534270972e-11,1.184631263308217e-10,6.09895372903466e-11,"[93.2, 113.4]","[92.6, 112.8]","[8.50771534270972e-11, 7.012176428617704e-11]","[6.09895372903466e-11, 3.607945450485499e-11]",3.701177770278209e-11,6.858431543998688e-12,7.538336539695851e-12,0.47619047619047616,2,0.2079686910924709,0.00029214165988378227
08_04KK_tms_40MSO_real.hdf,5,False,,,,0.05137646198272705,150843,30168.6,,,,[],[],[],[],3.2616074320074315e-11,6.387850703861462e-12,6.557055904053214e-12,0.0,0,0.044108957165729525,0.00037936013541184366
08_04KK_tms_40MSO_real.hdf,6,True,76.0,76.0,76.4,2.509399652481079,176847,35369.4,5.091087548953068e-11,5.00877712235752e-11,1.0301023535583965e-10,"[76.4, 94.0, 114.2, 134.2, 184.2, 294.2]","[76.0, 93.4, 113.4, 133.8, 183.8, 294.0]","[5.091087548953068e-11, 1.3007589929128542e-10, 8.330860336019529e-11, 4.619616683988664e-11, 4.5141141547676165e-11, 4.1572422492239764e-11]","[1.0301023535583965e-10, 1.7562775258033393e-10, 7.445666574973959e-11, 8.104414718510259e-12, 4.496620993063627e-12, 2.7562803379009894e-12]",3.629374303444812e-11,6.425545491499932e-12,7.467049385737047e-12,0.6666666666666666,6,0.2910917674175598,-7.120669033611193e-05
08_04KK_tms_40MSO_real.hdf,7,False,,,,0.2831079363822937,202142,40428.4,,,,[],[],[],[],3.655651123864532e-11,7.006968048445627e-12,7.387385797549923e-12,0.0,0,0.090589786536538,0.00015276401245500892
08_04KK_tms_40MSO_real.hdf,8,True,90.8,90.8,91.2,1.6438372135162354,230605,46121.0,7.529985203269756e-11,1.0558839873356593e-10,3.7691988770387476e-11,"[91.2, 111.4]","[90.8, 110.8]","[7.529985203269756e-11, 5.940928275240406e-11]","[3.7691988770387476e-11, 1.9520490519242033e-11]",3.757423217347895e-11,6.691277231303331e-12,7.720738735543904e-12,0.3333333333333333,2,0.19779319916368532,0.0012715267948806286
08_04KK_tms_40MSO_real.hdf,9,False,,,,0.15455038845539093,255567,51113.4,,,,[],[],[],[],3.6309614309952465e-11,6.637596761404339e-12,7.418004387137031e-12,0.0,0,0.07081164432371495,-0.0011160497087985277
08_04KK_tms_40MSO_real.hdf,10,True,76.0,76.0,76.4,2.3031744956970215,280029,56005.8,5.6563244829213165e-11,5.5101537861443414e-11,9.53131819483066e-11,"[76.4, 94.2, 114.2, 164.2, 184.4, 204.4]","[76.0, 93.6, 113.6, 163.8, 184.2, 204.2]","[5.6563244829213165e-11, 1.344462415919443e-10, 8.638630016189885e-11, 7.159663301422056e-11, 4.409862434383889e-11, 4.803457172644505e-11]","[9.53131819483066e-11, 1.8570707767450903e-10, 7.203292060659741e-11, 5.4171587100207856e-11, 6.85291957356867e-12, 8.144814390619314e-12]",3.60656947062165e-11,6.884886448447682e-12,7.295202064442205e-12,0.6666666666666666,6,0.3027867006466719,0.000476763496408239
