record,n_epoch,movement_found,delay_ms,onset_time,peak_time,mep_amplitude_mV,trigger_sample,trigger_time_ms,peak_amp,peak_prominence,peak_area,peak_times,peak_onsets,peak_amps,peak_areas,threshold,noise_median,noise_sigma,fraction_max,n_peaks,emg_ptp_mV,mep_baseline_mV
08_06TG_tms_58MSO_real.hdf,1,True,75.2,75.2,77.6,4.024078845977783,38483,7696.6,1.072789777709831e-10,1.020212157794911e-10,1.5762512315578454e-10,"[77.6, 91.0, 117.6, 127.8, 147.8, 167.6, 184.0, 211.2, 231.0, 248.8]","[75.2, 90.4, 115.2, 127.2, 147.2, 167.0, 182.6, 211.0, 230.8, 248.2]","[1.072789777709831e-10, 1.0793026788353369e-10, 9.968277368502871e-11, 4.6648372901518325e-11, 6.152378507999707e-11, 5.314572136325469e-11, 1.0949748491918955e-10, 3.435726060243807e-11, 3.906521482879023e-11, 3.670467607013885e-11]","[1.5762512315578454e-10, 2.0434658331556438e-10, 2.0092236341132925e-10, 2.3148783988061417e-11, 4.060912974844245e-11, 2.5924719478006153e-11, 1.952403599859052e-10, 3.8121806240793855e-12, 1.0883068836221738e-11, 1.3121151009849834e-11]",2.8835563086327065e-11,5.257761991491992e-12,5.894450273708768e-12,1.0,10,0.3290665052956288,0.003071521408855915
08_06TG_tms_58MSO_real.hdf,2,True,92.4,92.4,94.2,0.439449667930603,62862,12572.4,3.078901331421508e-09,2.2404284122803298e-09,1.37637944804314e-08,"[94.2, 108.2, 119.2, 132.8, 147.4, 160.6, 173.8, 210.6, 230.6, 250.6, 284.8]","[92.4, 92.4, 92.4, 127.0, 147.0, 160.0, 173.6, 210.2, 230.2, 250.2, 282.4]","[3.078901331421508e-09, 5.4393197532782926e-08, 8.324394400055631e-08, 3.0636611010128763e-10, 1.2121875710201026e-10, 1.2639391243836281e-10, 4.754565261737425e-11, 5.150330762511484e-11, 6.048399935556959e-11, 3.8061564821820515e-11, 8.190673686783585e-11]","[1.37637944804314e-08, 2.9002343350676617e-07, 2.693682079845305e-07, 2.0933769324158337e-09, 1.4267691423167469e-10, 9.59005339055328e-11, 1.368755113569286e-11, 1.7010306081470402e-11, 2.6336420673618846e-11, 6.041762135330713e-12, 1.5013827788712768e-10]",2.576231019727822e-11,4.8023129360952454e-12,5.239999315295743e-12,1.0,11,3.235363863472278,-0.0003839422424789518
08_06TG_tms_58MSO_real.hdf,3,True,78.0,78.0,78.4,3.087118148803711,87199,17439.8,6.988123968408323e-11,7.088354882483796e-11,4.991937283820394e-11,"[78.4, 91.6, 111.6, 141.6, 161.6, 181.6]","[78.0, 91.2, 111.2, 141.4, 161.4, 181.4]","[6.988123968408323e-11, 6.695171992137657e-11, 3.739182437845596e-11, 4.0629247799834646e-11, 4.387584536746975e-11, 3.941154454130481e-11]","[4.991937283820394e-11, 2.920304172460853e-11, 3.9550186773983765e-12, 5.9242079679183475e-12, 8.155709750699334e-12, 4.868131454616329e-12]",2.9541565878049746e-11,4.771329519878254e-12,6.192559089542873e-12,0.42857142857142855,6,0.2267410283492506,0.0007623137207701802
08_06TG_tms_58MSO_real.hdf,4,False,,,,0.46976667642593384,113786,22757.2,,,,[],[],[],[],2.7668460671502038e-11,5.18847275072576e-12,5.6199969801940696e-12,0.0,0,0.03906684801698712,-0.0009107974474318326
08_06TG_tms_58MSO_real.hdf,5,False,,,,0.4018331468105316,138957,27791.4,,,,[],[],[],[],3.192427400970578e-11,6.59558235649992e-12,6.332172913301464e-12,0.0,0,0.07562450461821246,0.0004272943187970668
08_06TG_tms_58MSO_real.hdf,6,False,,,,1.6134003400802612,164961,32992.2,,,,[],[],[],[],2.92613725636289e-11,5.821234835621319e-12,5.860034432001897e-12,0.0,0,0.11874999569728942,-0.0008067421731539071
08_06TG_tms_58MSO_real.hdf,7,False,,,,0.06415684521198273,190465,38093.0,,,,[],[],[],[],3.104023150024381e-11,5.805202366877498e-12,6.308757283341579e-12,0.0,0,0.029826219238703523,-0.0007736023981124163
08_06TG_tms_58MSO_real.hdf,8,True,75.2,75.2,76.4,3.83195424079895,214969,42993.8,7.974325090751814e-11,7.496248897697933e-11,2.2303829124809937e-10,"[76.4, 94.0, 114.0, 124.0, 134.0, 144.0, 164.0, 184.0, 204.0, 234.0, 254.0]","[75.2, 91.6, 113.4, 123.6, 133.8, 143.6, 163.6, 183.6, 203.6, 233.6, 253.6]","[7.974325090751814e-11, 9.154574830394705e-11, 6.739328966955354e-11, 4.319337051304192e-11, 3.52825594072884e-11, 6.074926002475729e-11, 6.018548373993049e-11, 5.631230318279638e-11, 4.561351664593766e-11, 3.7092183034250355e-11, 4.200251228140715e-11]","[2.2303829124809937e-10, 9.79704922452987e-11, 3.492281427114009e-11, 8.940569119941358e-12, 3.4490396290628702e-12, 3.6101232862972973e-11, 2.8795596034601664e-11, 2.4360306397580112e-11, 1.0895438110172101e-11, 5.000986843732447e-12, 9.004562032308324e-12]",2.809898540401155e-11,4.7807619305388125e-12,5.829555868368184e-12,0.8235294117647058,11,0.28505317415863385,0.00038821157068014145
08_06TG_tms_58MSO_real.hdf,9,False,,,,0.27989038825035095,239931,47986.2,,,,[],[],[],[],3.0768601486567826e-11,5.789500794395316e-12,6.244775173043127e-12,0.0,0,0.04471612905598485,0.0013277309481054544
08_06TG_tms_58MSO_real.hdf,10,False,,,,0.5314272046089172,265185,53037.0,,,,[],[],[],[],3.151318548589893e-11,5.366080334322114e-12,6.536776287894204e-12,0.0,0,0.05337432858886752,-0.0003524838830344379
08_06TG_tms_58MSO_real.hdf,11,False,,,,1.0215901136398315,291314,58262.8,,,,[],[],[],[],2.9560178268891613e-11,4.98995526586047e-12,6.142555750757787e-12,0.0,0,0.10252492605620275,-0.00032851920695975423
08_06TG_tms_58MSO_real.hdf,12,True,91.4,91.4,92.2,3.289078712463379,316484,63296.8,7.79553417850927e-11,8.253909734382672e-11,4.674864054166963e-11,"[92.2, 112.2, 122.2, 142.4, 162.4, 182.2, 202.4]","[91.4, 111.8, 121.8, 142.0, 162.0, 182.0, 202.0]","[7.79553417850927e-11, 5.042268782783562e-11, 4.081076782815521e-11, 4.3002395435417534e-11, 3.930620676703513e-11, 3.6519228205826486e-11, 3.745811677602872e-11]","[4.674864054166963e-11, 1.2978050367392287e-11, 6.431162173782355e-12, 7.385293711343566e-12, 4.686267830243558e-12, 2.779331850250144e-12, 3.2846571803205556e-12]",3.013765902470054e-11,5.602491440626932e-12,6.133791896018402e-12,0.47619047619047616,7,0.2326755954718217,0.0011203697649762034
